scenario,label,effTotalElectricalFuelMassEfficiency,effTotalElectricalFuelMassEfficiency_lowerError,effTotalElectricalFuelMassEfficiency_upperError,
ALA_H2,"H2 (1) here",50952.927939381945,8130.786373305622,1084.1048497740921
ALA_EET,"EET (1) here",55733.83032688565,10342.360266844764,2298.3022815210497
ARG_H2,"H2 (2) here",88167.63062731645,14140.091704380946,1885.34556058413
ARG_EET,"EET (2) here",98159.96209841232,19690.77084010064,3820.5973271837283
